VARIABLES="X" "temp" "u" "rho" "H2" "O2" "H2O" "H" "O" "OH" "HO2" "H2O2" "N2"
ZONE I=2 F=POINT
0.0 750.0 14200.0 0.000404 0.153025 0.177936 0.0 0.0 0.0 0.0 0.0 0.0 0.669039
1.0 750.0 14200.0 0.000404 0.153025 0.177936 0.0 0.0 0.0 0.0 0.0 0.0 0.669039
